ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
166,0,4,0,2,0,0,0,0,2,1,1
167,1,4,0,2,0,1,0,0,2,2,1
168,0,4,1,2,1,1,3,0,2,2,0
169,1,4,0,1,0,1,0,0,2,0,1
170,1,4,1,2,0,0,0,3,2,0,0
171,1,4,0,0,0,1,0,0,2,2,0
172,0,4,1,0,0,1,2,0,2,1,1
173,0,4,1,0,0,0,3,0,2,1,1
174,0,4,1,0,0,1,3,0,2,1,0
175,0,4,0,0,0,0,3,0,2,2,0
176,0,4,1,0,0,0,3,3,2,1,0
177,1,4,1,2,0,1,0,0,2,2,0
178,0,4,0,2,0,0,0,0,2,2,0
179,0,4,1,2,0,1,0,0,2,2,0
180,0,4,0,2,1,0,3,3,2,1,1
181,0,4,0,1,0,0,3,3,2,1,0
182,0,4,1,2,0,0,3,3,2,1,0
183,0,4,0,2,0,0,0,0,2,1,0
184,1,4,1,0,1,0,0,0,2,0,0
185,1,4,1,0,1,0,0,0,2,0,0
186,1,4,0,2,0,1,0,0,2,0,0
187,0,4,0,0,0,0,3,3,2,2,0
188,0,4,1,2,1,0,3,0,2,2,1
189,1,4,1,0,0,0,3,0,2,3,0
190,1,4,1,2,1,0,3,3,2,0,0
191,0,4,0,2,0,0,2,0,2,2,0
192,0,4,0,2,0,0,0,0,2,1,0
193,0,4,0,2,1,0,4,1,2,1,1
194,0,4,0,2,0,0,3,0,2,1,0
195,0,4,1,2,1,0,3,3,2,1,1
196,1,4,1,2,0,1,3,3,2,3,0
197,0,0,1,2,0,1,3,0,2,1,1
198,1,0,1,2,0,0,0,3,2,1,1
199,0,0,1,0,0,0,0,0,2,1,0
200,1,0,1,2,0,0,3,0,2,2,1
201,1,0,0,2,0,0,3,3,2,3,1
202,1,0,0,0,1,1,3,3,2,3,0
203,1,0,1,2,0,0,0,0,2,0,0
204,1,0,0,2,2,1,3,3,2,0,0
205,1,0,0,2,1,1,0,0,2,0,0
206,1,0,1,0,0,0,0,3,2,2,0
207,1,0,0,2,1,0,0,3,2,3,1
208,1,0,0,2,0,0,0,0,2,3,0
209,0,0,1,2,0,0,2,0,2,1,0
210,1,0,1,2,0,0,3,0,2,3,0
211,1,0,1,2,1,1,2,1,2,0,0
212,1,0,1,2,0,0,0,0,2,3,1
213,0,0,1,2,0,0,3,3,2,2,0
214,0,0,0,2,0,0,3,0,2,1,1
215,0,0,0,0,0,1,0,0,2,1,0
216,0,0,0,2,0,1,0,0,2,2,0
217,0,0,0,2,1,0,3,3,2,1,0
218,1,0,1,2,1,0,3,3,2,0,0
219,0,0,0,1,0,0,3,3,2,1,1
220,0,0,0,0,1,0,3,0,2,2,1
221,0,0,1,2,0,0,3,0,2,1,1
222,0,0,0,1,1,0,2,3,2,2,0
223,1,0,1,2,0,1,0,0,2,0,0
224,1,0,1,2,0,1,0,0,2,0,0
225,0,0,0,2,0,0,3,3,2,1,1
226,0,0,1,0,0,0,3,3,2,1,0
227,1,0,1,2,2,1,3,3,2,2,0
228,1,0,1,2,0,0,0,0,2,3,0
229,1,0,0,2,0,1,0,0,2,3,1
230,0,0,1,0,0,0,0,0,2,1,0
231,0,0,1,2,0,0,2,3,2,1,1
232,0,0,1,0,0,0,3,0,2,2,0
233,1,0,1,0,0,0,0,3,2,0,0
234,1,0,1,0,1,0,3,3,2,3,0
235,1,0,1,2,0,0,0,3,2,3,0
236,0,0,0,1,0,0,3,0,2,1,1
237,1,0,0,2,0,0,3,0,2,0,1
238,0,0,1,2,1,0,2,3,2,2,1
239,1,0,0,2,0,0,3,3,2,0,0
240,1,0,0,2,1,0,2,1,2,0,0
