ID,Label,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
92,0,45,Female,Married,50000,Frist-Hand,1686216.89,750000,60,4.896,Average_Capital_Plus_Interest_Repayment
93,0,46,Female,Unknown,20000,Frist-Hand,867082.78,4.00E+05,60,4.032,Average_Capital_Plus_Interest_Repayment
94,1,46,Male,Married,26000,Second-Hand,364108,140000,60,6.8625,Matching_The_Principal_Repayment
95,0,47,Male,Married,208333.3333,Frist-Hand,569811,390000,60,4.896,Matching_The_Principal_Repayment
96,1,48,Male,Married,8600,Second-Hand,6.00E+05,250000,60,5.049,Average_Capital_Plus_Interest_Repayment
97,1,49,Female,Single,0,Frist-Hand,1725016,1380000,60,4.032,Matching_The_Principal_Repayment
98,1,49,Male,Married,70000,Frist-Hand,6630534,3.00E+06,60,4.896,Matching_The_Principal_Repayment
99,0,49,Male,Married,18000,Second-Hand,1738146.46,3.00E+05,60,4.896,Average_Capital_Plus_Interest_Repayment
100,0,51,Male,Married,16500,Second-Hand,269950,1.00E+05,60,4.896,Average_Capital_Plus_Interest_Repayment
101,0,51,Male,Married,6000,Second-Hand,607406.87,170000,60,4.032,Average_Capital_Plus_Interest_Repayment
102,1,51,Male,Married,10000,Second-Hand,201999,140000,60,6.579,Average_Capital_Plus_Interest_Repayment
103,1,52,Female,Married,15000,Frist-Hand,610561,250000,60,6.579,Matching_The_Principal_Repayment
104,0,53,Male,Married,5500,Second-Hand,502316.78,215000,60,5.184,Average_Capital_Plus_Interest_Repayment
105,1,55,Male,Married,15000,Frist-Hand,604251,420000,60,6.579,Average_Capital_Plus_Interest_Repayment
106,0,56,Male,Married,8200,Second-Hand,560998.15,160000,60,4.896,Average_Capital_Plus_Interest_Repayment
107,1,20,Male,Single,10000,Second-Hand,565313,450000,120,5.814,Average_Capital_Plus_Interest_Repayment
108,1,20,Male,Single,10000,Frist-Hand,633934,440000,120,6.6555,Average_Capital_Plus_Interest_Repayment
109,1,22,Female,Single,4000,Frist-Hand,458767,160000,120,4.158,Average_Capital_Plus_Interest_Repayment
110,1,23,Male,Single,10000,Frist-Hand,666761,460000,120,6.6555,Average_Capital_Plus_Interest_Repayment
111,0,23,Male,Single,10000,Frist-Hand,1177387.56,550000,120,5.049,Matching_The_Principal_Repayment
112,0,23,Female,Single,11000,Frist-Hand,702868.75,268000,120,4.158,Average_Capital_Plus_Interest_Repayment
113,0,24,Female,Single,9000,Frist-Hand,734790.04,350000,120,4.158,Average_Capital_Plus_Interest_Repayment
114,1,24,Female,Single,6000,Frist-Hand,491716,1.00E+05,120,5.814,Average_Capital_Plus_Interest_Repayment
115,0,24,Male,Unknown,8500,Frist-Hand,936996.06,340000,120,4.158,Average_Capital_Plus_Interest_Repayment
116,1,24,Male,Single,4600,Frist-Hand,374907,170000,120,6.6555,Average_Capital_Plus_Interest_Repayment
117,1,24,Female,Unknown,8000,Frist-Hand,497472,390000,120,6.6555,Matching_The_Principal_Repayment
118,0,25,Male,Single,6000,Second-Hand,669179.95,150000,120,4.158,Average_Capital_Plus_Interest_Repayment
119,0,25,Male,Single,6500,Second-Hand,476354.85,2.00E+05,120,4.158,Average_Capital_Plus_Interest_Repayment
120,0,25,Female,Married,12800,Second-Hand,696739.78,270000,120,4.158,Average_Capital_Plus_Interest_Repayment
121,0,25,Female,Married,80000,Frist-Hand,1952860.16,920000,120,4.158,Matching_The_Principal_Repayment
122,1,25,Female,Married,15600,Frist-Hand,361228,280000,120,5.049,Average_Capital_Plus_Interest_Repayment
123,1,25,Male,Single,8500,Frist-Hand,443702,190000,120,5.814,Matching_The_Principal_Repayment
124,1,25,Male,Single,6000,Frist-Hand,491707,280000,120,6.6555,Average_Capital_Plus_Interest_Repayment
125,1,25,Male,Single,80000,Second-Hand,450000,1.00E+05,120,5.202,Matching_The_Principal_Repayment
126,0,26,Male,Single,4500,Second-Hand,427220.27,130000,120,5.346,Average_Capital_Plus_Interest_Repayment
127,0,26,Male,Unknown,10000,Frist-Hand,624059.08,2.00E+05,120,5.049,Average_Capital_Plus_Interest_Repayment
128,1,26,Female,Single,7000,Second-Hand,235127,140000,120,6.12,Average_Capital_Plus_Interest_Repayment
