prob_predict,y,y_predict,AGE,GENDER,MARITAL_STATUS,MONTHLY_INCOME_WHITHOUT_TAX,LOANTYPE,GAGE_TOTLE_PRICE,APPLY_AMOUNT,APPLY_TERM_TIME,APPLY_INTEREST_RATE,PAYMENT_TYPE
0.9857330609840099,1,1,0,1,1,0,0,0,0,4,3,0
0.8858180330435514,1,1,0,0,2,1,0,0,0,4,2,0
0.15493723031549342,0,0,0,0,2,0,0,1,0,4,1,0
0.9966030096829697,1,1,0,1,0,1,0,0,2,4,0,0
0.965820682809187,1,1,0,0,0,0,0,2,1,4,0,0
0.5816626916489438,0,1,0,0,2,1,0,1,2,4,2,0
0.59709527466902,1,1,0,1,0,0,0,0,0,4,2,0
0.2799868186399825,0,0,0,0,0,0,0,1,0,4,1,0
0.8414740184819133,1,1,0,0,2,1,1,0,0,4,2,0
0.4573273833066165,0,1,0,0,2,1,0,1,0,4,1,1
0.9895596607003722,1,1,0,1,2,1,1,0,0,4,0,0
0.5675666072021176,1,1,0,0,2,0,1,0,0,4,2,0
0.7090958841400533,1,1,0,1,2,1,0,1,2,4,2,0
0.9783265912719157,1,1,0,0,2,1,1,1,1,4,0,0
0.9967573183043773,1,1,0,0,2,2,0,0,0,4,0,0
0.5219522124742686,1,1,0,1,0,0,0,1,2,4,2,0
0.9879813892202493,1,1,0,0,2,1,0,1,2,4,3,0
0.9951398552336266,1,1,2,1,2,2,0,0,0,4,0,0
0.986446787369276,1,1,2,0,0,0,0,0,0,4,0,0
0.915261098412631,1,1,2,1,2,2,0,0,0,4,2,0
0.14569656807733072,0,0,2,1,0,0,0,1,0,4,2,0
0.29445151204960657,0,0,2,0,2,2,0,2,1,4,1,0
0.9790865318133171,1,1,2,1,0,0,1,0,0,4,0,1
0.9854432918760916,1,1,2,0,2,0,1,1,2,4,3,0
0.9783300915661589,1,1,2,1,0,1,0,1,2,4,0,0
0.46301627597739714,0,1,2,1,0,2,0,2,2,4,1,0
0.9870054671354892,1,1,2,0,0,0,0,0,0,4,0,1
0.15189856734980037,0,0,2,1,2,1,0,2,1,4,2,0
0.7737214368572536,1,1,2,0,1,1,0,0,0,4,2,0
0.9575207429048315,1,1,2,0,1,2,0,2,1,4,0,0
0.69226365812109,1,1,2,1,2,1,0,0,0,4,2,0
0.9892059019724604,1,1,2,1,2,1,0,0,0,4,0,0
0.28175034647194896,1,0,2,0,1,0,1,0,0,4,2,0
0.764576619719411,0,1,2,1,2,2,1,0,0,4,2,0
0.22376562913414397,0,0,2,1,2,0,1,0,0,4,2,0
0.4698372133849596,1,1,2,1,2,0,1,1,2,4,2,0
0.69226365812109,0,1,2,1,2,1,0,0,0,4,2,0
0.04729060127170976,0,0,2,1,2,0,1,1,0,4,1,0
0.3458323730711825,0,0,2,0,2,2,0,2,2,4,2,0
0.16992444652499367,0,0,2,0,1,1,0,1,0,4,1,0
0.9825981953655518,1,1,2,1,2,1,1,0,0,4,0,1
0.933116787405239,0,1,3,1,2,2,0,0,0,4,2,1
0.23362162854689086,1,0,3,1,2,0,1,0,0,4,2,0
0.32763111358908525,1,0,3,0,0,0,0,2,1,4,1,1
0.8500364864942098,1,1,3,1,2,2,0,2,1,4,2,1
0.20453183865032643,0,0,3,1,2,1,1,2,0,4,2,0
0.29567317044830577,0,0,3,1,2,1,1,0,0,4,2,0
0.20191622433524992,0,0,3,1,2,0,1,0,0,4,1,0
0.968872847067805,1,1,3,1,2,0,1,0,0,4,0,0
0.9830589132858146,1,1,3,0,2,0,0,0,0,4,0,1
0.23362162854689086,0,0,3,1,2,0,1,0,0,4,2,0
0.9970760175528599,1,1,3,1,2,0,0,0,2,4,0,0
0.23362162854689086,0,0,3,1,2,0,1,0,0,4,2,0
0.9999987372324156,1,1,1,1,0,0,1,0,2,2,3,0
0.9999864508363377,1,1,1,1,0,0,0,0,2,2,0,0
0.11517369002779,1,0,1,0,0,0,0,0,0,2,1,0
0.9999864508363377,1,1,1,1,0,0,0,0,2,2,0,0
0.22345609704533645,0,0,1,1,0,0,0,1,2,2,2,1
0.11517369002779,0,0,1,0,0,0,0,0,0,2,1,0
0.03419023455078656,0,0,1,0,0,0,0,1,0,2,1,0
0.9854371304143835,1,1,1,0,0,0,0,0,0,2,3,0
0.0246397373868357,0,0,1,1,1,0,0,1,0,2,1,0
0.9813717549223204,1,1,1,1,0,0,0,0,0,2,0,0
0.9840955703355685,1,1,1,0,1,0,0,0,0,2,0,1
0.11711470772753153,0,0,1,1,0,0,1,0,0,2,1,0
0.11711470772753153,0,0,1,1,0,0,1,0,0,2,1,0
0.10549203892614309,0,0,1,0,2,0,1,0,0,2,1,0
0.21982867487517843,0,0,1,0,2,2,0,2,2,2,1,1
0.27481487463502036,1,0,1,0,2,1,0,0,0,2,2,0
0.9909682718129095,1,1,1,1,0,0,0,0,0,2,3,1
0.9813717549223204,1,1,1,1,0,0,0,0,0,2,0,0
0.6658124895416396,1,1,1,1,0,2,1,0,0,2,2,1
0.13997716712381186,0,0,1,1,0,0,1,0,0,2,2,0
0.13296441870602577,0,0,1,1,1,0,0,0,0,2,2,0
0.9769377618050734,1,1,1,0,0,0,1,0,0,2,3,0
0.9912149584738353,1,1,1,1,2,1,0,0,0,2,3,0
0.04170150970151812,0,0,1,1,2,0,0,1,0,2,1,0
0.14334413147776393,0,0,1,0,2,0,0,0,0,2,1,0
0.046919644008929846,0,0,1,0,2,0,0,1,0,2,1,0
0.9783445721729986,1,1,1,0,0,0,1,0,0,2,0,0
0.18171727110040078,1,0,1,0,2,0,0,0,0,2,2,0
0.9805096956123304,1,1,1,0,2,1,0,1,1,2,3,0
0.15186280152657594,0,0,1,1,0,0,1,0,0,2,1,1
0.9328141718249211,1,1,1,1,0,0,0,0,2,2,2,1
0.03419023455078656,0,0,1,0,0,0,0,1,0,2,1,0
0.9783431677519647,1,1,4,0,0,0,0,0,0,2,3,0
0.1796267433538202,0,0,4,0,0,0,1,0,0,2,2,0
0.1938158953203098,0,0,4,1,0,0,0,0,0,2,2,0
0.978364361496092,1,1,4,0,1,2,1,2,1,2,0,0
0.05711747587100733,0,0,4,1,0,0,0,2,2,2,1,0
0.07066773744908475,0,0,4,1,2,0,0,1,0,2,2,0
0.16255655673128463,0,0,4,1,0,0,0,1,2,2,1,1
0.9800890054191774,1,1,4,1,0,0,1,0,0,2,0,0
0.14085858776028562,0,0,4,1,0,0,0,0,0,2,1,1
0.1938158953203098,0,0,4,1,0,0,0,0,0,2,2,0
0.021637898708664505,0,0,4,0,1,0,0,1,0,2,1,0
0.9765922075311072,1,1,4,1,0,0,0,0,0,2,0,0
0.9818336122021648,1,1,4,1,2,0,0,0,0,2,0,0
0.9800890054191774,1,1,4,1,0,0,1,0,0,2,0,0
0.09811325406902584,0,0,4,0,1,0,0,0,0,2,1,0
0.151977975141194,0,0,4,1,2,0,0,1,2,2,1,0
0.9888116105604475,1,1,4,0,2,0,0,0,0,2,3,0
0.15194353146169387,0,0,4,0,1,0,0,1,2,2,2,1
0.9999938820026644,1,1,4,0,2,0,0,0,2,2,0,0
0.15184506107423865,0,0,4,0,0,0,0,0,0,2,1,1
0.9791719223531944,1,1,4,1,2,0,1,0,0,2,0,0
0.15184339047020723,0,0,4,0,2,0,1,0,0,2,1,0
0.15198009903712895,0,0,4,0,2,0,0,1,2,2,1,1
0.9759824903695117,1,1,4,1,0,1,0,1,2,2,0,1
0.9850142332182846,1,1,4,1,0,0,0,0,0,2,3,0
0.15419444169759053,0,0,4,0,0,0,0,0,0,2,2,0
0.16087645707824105,0,0,4,1,2,1,0,1,2,2,2,0
0.2391900334966399,0,0,4,0,2,0,0,0,0,2,1,1
0.3893361223151526,1,0,4,0,2,0,1,0,0,2,2,1
0.07061106847766885,0,0,4,1,2,1,1,1,0,2,2,0
0.9804654223281206,1,1,4,0,1,0,1,0,0,2,0,1
0.9999965291118218,1,1,4,1,2,0,0,0,2,2,0,0
0.1796267433538202,1,0,4,0,0,0,1,0,0,2,2,0
0.1519806985566569,0,0,4,1,0,0,1,2,0,2,1,1
0.03864408470143795,0,0,4,1,0,0,0,1,0,2,1,1
0.05368111786858427,0,0,4,1,0,0,1,1,0,2,1,0
0.043520997444231574,0,0,4,0,0,0,0,1,0,2,2,0
0.15201162127591256,0,0,4,1,0,0,0,1,2,2,1,0
0.23319098491992846,1,0,4,1,2,0,1,0,0,2,2,0
0.22780430186501002,0,0,4,0,2,0,0,0,0,2,2,0
0.23319098491992846,0,0,4,1,2,0,1,0,0,2,2,0
0.1663776358229587,0,0,4,0,2,1,0,1,2,2,1,1
0.07920349347389241,0,0,4,0,1,0,0,1,2,2,1,0
0.151977975141194,0,0,4,1,2,0,0,1,2,2,1,0
0.15197814103452872,0,0,4,0,2,0,0,0,0,2,1,0
0.980794983169224,1,1,4,1,0,1,0,0,0,2,0,0
0.980794983169224,1,1,4,1,0,1,0,0,0,2,0,0
0.9776884145004201,1,1,4,0,2,0,1,0,0,2,0,0
0.15202891708073124,0,0,4,0,0,0,0,1,2,2,2,0
0.15195777707033523,0,0,4,1,2,1,0,1,0,2,2,1
0.9573905889851847,1,1,4,1,0,0,0,1,0,2,3,0
0.9756742400720548,1,1,4,1,2,1,0,1,2,2,0,0
0.15183827681193965,0,0,4,0,2,0,0,2,0,2,2,0
0.15197814103452872,0,0,4,0,2,0,0,0,0,2,1,0
0.11913241372222222,0,0,4,0,2,1,0,2,1,2,1,1
